freq_mhz,step,ue_id,prx_dbm,prx_dbm_theo
3500.0,83,0,-75.37999891894182,-50.53843197728959
3500.0,83,1,-80.6122330999064,-57.326466565737036
3500.0,83,2,-78.07010477557714,-53.55633798246816
3500.0,83,3,-72.7432171819415,-50.15897778426813
3500.0,83,4,-80.94041406384477,-55.541241397267775
3500.0,84,0,-75.5215547835924,-50.661144294877104
3500.0,84,1,-80.65567086428685,-57.37454582559883
3500.0,84,2,-78.00083670838275,-53.46805724621119
3500.0,84,3,-72.66919307319837,-50.078370147961024
3500.0,84,4,-80.90022032824221,-55.58028656748616
3500.0,85,0,-75.66152449241004,-50.78275495645334
3500.0,85,1,-80.6820995937857,-57.42253275444037
3500.0,85,2,-77.90378008664669,-53.37898366128819
3500.0,85,3,-72.60413111034865,-49.99748178404309
3500.0,85,4,-81.09150322816426,-55.619719591168554
3500.0,86,0,-75.79993820478016,-50.903273000379976
3500.0,86,1,-80.71600165818056,-57.47042898232931
3500.0,86,2,-77.80567997623442,-53.28911480824864
3500.0,86,3,-72.53385864388646,-49.916451834162736
3500.0,86,4,-80.98263120636992,-55.65953218351666
3500.0,87,0,-75.93773776222693,-51.02262254774402
3500.0,87,1,-80.73470850526797,-57.5182180300383
3500.0,87,2,-77.50778110319561,-53.19841227756224
3500.0,87,3,-72.46828887021856,-49.83531886689342
3500.0,87,4,-80.8840699196481,-55.69968959940117
3500.0,88,0,-76.07323488605795,-51.1408493870574
3500.0,88,1,-80.84124997713731,-57.56590786115793
3500.0,88,2,-77.40831192631217,-53.10688641070948
3500.0,88,3,-72.40263741369989,-49.75423993200421
3500.0,88,4,-80.77512133180159,-55.740193059677416
3500.0,89,0,-76.20729507775746,-51.25796429201118
3500.0,89,1,-80.85942870899032,-57.6134988866863
3500.0,89,2,-77.30919419608688,-53.01453476237602
3500.0,89,3,-72.34312850950346,-49.67303299176541
3500.0,89,4,-80.65934596751649,-55.78103321697681
3500.0,90,0,-76.3391875164846,-51.37395882319166
3500.0,90,1,-79.31453206490689,-57.66098767064086
